,Date,PC1,PC2,phase,amplitude,year
15341,2021-01-01,0.053474,-0.5680827,3,0.5705939,2021
15342,2021-01-02,0.0177944,-0.6177768,3,0.6180331,2021
15343,2021-01-03,-0.1165601,-0.8191453,2,0.8273967,2021
15344,2021-01-04,-0.1532955,-1.0069821,2,1.0185835,2021
15345,2021-01-05,-0.0569419,-1.1569655,2,1.1583658,2021
15346,2021-01-06,0.2294762,-1.2496511,3,1.2705461,2021
15347,2021-01-07,0.4296685,-1.2921562,3,1.3617206,2021
15348,2021-01-08,0.4357377,-1.3158187,3,1.3860903,2021
15349,2021-01-09,0.4996307,-1.0924429,3,1.2012752,2021
15350,2021-01-10,0.3878401,-1.1044719,3,1.1705889,2021
15351,2021-01-11,0.3261053,-1.0709004,3,1.1194519,2021
15352,2021-01-12,0.347442,-1.0287212,3,1.0858099,2021
15353,2021-01-13,0.3929238,-1.0561483,3,1.126871,2021
15354,2021-01-14,0.4375556,-0.9544924,3,1.0500052,2021
15355,2021-01-15,0.5988421,-0.8083705,3,1.0060194,2021
15356,2021-01-16,0.8108511,-0.6454758,4,1.0363969,2021
15357,2021-01-17,0.4715644,-0.6009588,3,0.7638877,2021
15358,2021-01-18,0.1845463,-0.5935889,3,0.621615,2021
15359,2021-01-19,0.1923081,-0.1799795,4,0.2633914,2021
15360,2021-01-20,-0.0876969,0.3252706,7,0.3368853,2021
15361,2021-01-21,0.0692022,0.6261591,6,0.6299716,2021
15362,2021-01-22,0.3365447,0.875658,6,0.9381041,2021
15363,2021-01-23,0.4923539,1.1177511,6,1.2213844,2021
15364,2021-01-24,0.3055931,1.3044622,6,1.3397794,2021
15365,2021-01-25,-0.0939899,1.4456707,7,1.4487228,2021
15366,2021-01-26,-0.1398173,1.3360523,7,1.3433483,2021
15367,2021-01-27,0.166107,1.593226,6,1.6018616,2021
15368,2021-01-28,0.2939335,1.9177128,6,1.9401081,2021
15369,2021-01-29,0.6302614,1.7486091,6,1.8587261,2021
15370,2021-01-30,0.7423614,1.5312308,6,1.7016957,2021
15371,2021-01-31,0.5494887,1.4170455,6,1.5198538,2021
15372,2021-02-01,0.2580026,1.4704031,6,1.4928665,2021
15373,2021-02-02,0.2240815,1.7687944,6,1.7829319,2021
15374,2021-02-03,0.2109783,1.4487232,6,1.464005,2021
15375,2021-02-04,0.0358556,1.5528915,6,1.5533054,2021
15376,2021-02-05,-0.0575904,1.6671965,7,1.6681908,2021
15377,2021-02-06,-0.0475368,1.7628065,7,1.7634474,2021
15378,2021-02-07,-0.3011188,1.6351335,7,1.6626287,2021
15379,2021-02-08,-0.7722605,1.6493458,7,1.8211886,2021
15380,2021-02-09,-0.8104864,1.6907401,7,1.8749641,2021
15381,2021-02-10,-0.4319921,1.5466713,7,1.6058671,2021
15382,2021-02-11,-0.0584025,1.7228221,7,1.7238116,2021
15383,2021-02-12,-0.1006078,1.9781947,7,1.9807514,2021
15384,2021-02-13,-0.2676168,1.9647404,7,1.9828827,2021
15385,2021-02-14,-0.545553,2.1138501,7,2.1831148,2021
15386,2021-02-15,-0.650927,2.0174649,7,2.1198752,2021
15387,2021-02-16,-0.49749,1.8540103,7,1.9195964,2021
15388,2021-02-17,-0.3804906,1.2333803,7,1.2907363,2021
15389,2021-02-18,-0.4051633,0.7984428,7,0.8953593,2021
15390,2021-02-19,-0.4214935,0.6181636,7,0.7481865,2021
15391,2021-02-20,-0.4712088,0.4909011,7,0.6804569,2021
15392,2021-02-21,0.0332199,0.4216863,6,0.4229928,2021
15393,2021-02-22,0.4659237,0.406312,5,0.6182025,2021
15394,2021-02-23,0.7335735,0.4087478,5,0.8397648,2021
15395,2021-02-24,0.8900008,0.5538555,5,1.048264,2021
15396,2021-02-25,0.9904814,0.56076,5,1.1382025,2021
15397,2021-02-26,1.067737,0.4427502,5,1.1558936,2021
15398,2021-02-27,0.8599469,0.3392878,5,0.9244593,2021
15399,2021-02-28,0.5018902,0.2439631,5,0.5580428,2021
15400,2021-03-01,0.3938962,0.5329686,6,0.662729,2021
15401,2021-03-02,0.1066598,0.6013269,6,0.610713,2021
15402,2021-03-03,-0.2660708,0.2198758,8,0.3451652,2021
15403,2021-03-04,-0.3929124,0.1182832,8,0.4103304,2021
15404,2021-03-05,-0.2802474,-0.0903266,1,0.2944444,2021
15405,2021-03-06,-0.3063934,0.0808025,8,0.316869,2021
15406,2021-03-07,-0.614408,-0.0285652,1,0.6150717,2021
15407,2021-03-08,-0.8844223,-0.1958187,1,0.9058409,2021
15408,2021-03-09,-0.9634053,-0.3321794,1,1.0190647,2021
15409,2021-03-10,-0.9145712,-0.3651253,1,0.9847624,2021
15410,2021-03-11,-1.0713893,-0.2044701,1,1.0907259,2021
15411,2021-03-12,-1.1441526,-0.1394935,1,1.1526247,2021
15412,2021-03-13,-1.2113616,-0.1125239,1,1.2165766,2021
15413,2021-03-14,-1.0627344,-0.1912628,1,1.0798082,2021
15414,2021-03-15,-1.0255702,-0.1031648,1,1.030746,2021
15415,2021-03-16,-1.0329707,-0.2088627,1,1.0538747,2021
15416,2021-03-17,-1.1580172,-0.3528171,1,1.2105716,2021
15417,2021-03-18,-1.0757164,-0.4063771,1,1.1499165,2021
15418,2021-03-19,-0.8757769,-0.467885,1,0.9929258,2021
15419,2021-03-20,-0.4762821,-0.5259441,2,0.7095504,2021
15420,2021-03-21,-0.3495674,-0.707559,2,0.7892003,2021
15421,2021-03-22,-0.462498,-0.973689,2,1.0779493,2021
15422,2021-03-23,-0.55145,-1.1916895,2,1.3130959,2021
15423,2021-03-24,-0.1498735,-1.1072717,2,1.1173686,2021
15424,2021-03-25,0.0782135,-0.6988433,3,0.7032064,2021
15425,2021-03-26,0.2885127,-0.7676582,3,0.8200846,2021
15426,2021-03-27,0.8683789,-0.812336,4,1.1891054,2021
15427,2021-03-28,1.146208,-0.772886,4,1.3824419,2021
15428,2021-03-29,1.0713971,-0.5036554,4,1.1838751,2021
15429,2021-03-30,1.2465708,-0.2725191,4,1.2760116,2021
15430,2021-03-31,1.1430711,-0.1609242,4,1.1543431,2021
15431,2021-04-01,1.3209728,0.2117375,5,1.3378348,2021
15432,2021-04-02,1.3737619,0.5133313,5,1.466537,2021
15433,2021-04-03,1.2657512,0.6298572,5,1.4138056,2021
15434,2021-04-04,1.1742401,0.7486877,5,1.3926138,2021
15435,2021-04-05,0.9708782,0.9691575,5,1.3718129,2021
15436,2021-04-06,0.7822451,1.4683952,6,1.6637584,2021
15437,2021-04-07,0.7148756,1.7241204,6,1.8664507,2021
15438,2021-04-08,0.8555912,1.696568,6,1.9000999,2021
15439,2021-04-09,0.7396407,1.5710418,6,1.7364448,2021
15440,2021-04-10,0.4918089,1.5377039,6,1.6144377,2021
15441,2021-04-11,0.1509873,1.8506596,6,1.8568085,2021
15442,2021-04-12,-0.1309994,1.8582368,7,1.8628485,2021
15443,2021-04-13,-0.3729653,1.9104211,7,1.9464872,2021
15444,2021-04-14,-0.4552194,1.760545,7,1.8184453,2021
15445,2021-04-15,-0.4697616,1.6265855,7,1.6930612,2021
15446,2021-04-16,-0.5753499,1.4776412,7,1.5857021,2021
15447,2021-04-17,-0.7003828,1.5543971,7,1.7049006,2021
15448,2021-04-18,-0.6357452,1.8018081,7,1.9106764,2021
15449,2021-04-19,-0.4780686,1.8751045,7,1.9350883,2021
15450,2021-04-20,-0.4391083,1.858699,7,1.9098632,2021
15451,2021-04-21,-0.3980192,1.653283,7,1.7005188,2021
15452,2021-04-22,-0.2719885,1.5346555,7,1.5585715,2021
15453,2021-04-23,-0.3297165,1.6113766,7,1.6447637,2021
15454,2021-04-24,-0.8078879,1.6496193,7,1.8368251,2021
15455,2021-04-25,-1.4102776,1.6654164,7,2.1823142,2021
15456,2021-04-26,-1.954198,1.4364227,8,2.4253247,2021
15457,2021-04-27,-2.4416547,1.1570191,8,2.7019198,2021
15458,2021-04-28,-2.6105764,1.0347999,8,2.808188,2021
15459,2021-04-29,-2.8981185,0.6507192,8,2.9702737,2021
15460,2021-04-30,-3.1760941,0.1392563,8,3.1791453,2021
15461,2021-05-01,-3.1547425,-0.152489,1,3.1584256,2021
15462,2021-05-02,-3.1464212,-0.5120127,1,3.1878085,2021
15463,2021-05-03,-2.7435257,-0.8455309,1,2.8708632,2021
15464,2021-05-04,-2.1652536,-1.14311,1,2.4484739,2021
15465,2021-05-05,-1.7157936,-1.5843302,1,2.3353908,2021
15466,2021-05-06,-1.1847328,-1.7859137,2,2.1431472,2021
15467,2021-05-07,-0.458725,-1.7530692,2,1.8120928,2021
15468,2021-05-08,0.0671278,-1.359934,3,1.3615897,2021
15469,2021-05-09,0.6399945,-1.0644679,3,1.2420486,2021
15470,2021-05-10,0.7308607,-0.8867314,3,1.1491083,2021
15471,2021-05-11,0.4269893,-0.6112348,3,0.7456057,2021
15472,2021-05-12,0.0852018,-0.3012157,3,0.313034,2021
15473,2021-05-13,-0.2446465,-0.1910391,1,0.3103995,2021
15474,2021-05-14,-0.4300511,-0.4342508,2,0.611161,2021
15475,2021-05-15,-0.4782915,-0.9313588,2,1.0469919,2021
15476,2021-05-16,-0.3205476,-1.3664755,2,1.403569,2021
15477,2021-05-17,-0.1002346,-1.4909506,2,1.4943161,2021
15478,2021-05-18,0.4683694,-1.3935405,3,1.4701445,2021
15479,2021-05-19,1.310941,-1.1527516,4,1.745681,2021
15480,2021-05-20,1.6639233,-0.5368255,4,1.748377,2021
15481,2021-05-21,1.5817589,-0.1210337,4,1.5863827,2021
15482,2021-05-22,1.5607609,0.2317705,5,1.5778757,2021
15483,2021-05-23,1.5158654,0.534715,5,1.6074104,2021
15484,2021-05-24,1.2385479,0.8335189,5,1.4929014,2021
15485,2021-05-25,0.7509509,0.9109117,6,1.1805453,2021
