,Date,PC1,PC2,phase,amplitude,year
39448,2006-01-01,-1.0909814,0.7381572,8,1.3172382,2006
39449,2006-01-01,-1.1132574,0.7305191,8,1.3315406,2006
39450,2006-01-01,-1.0365728,0.4376951,8,1.1251935,2006
39451,2006-01-01,-1.1423322,0.2541726,8,1.1702677,2006
39452,2006-01-02,-1.1935421,0.2171548,8,1.2131361,2006
39453,2006-01-02,-1.150589,0.1599432,8,1.1616527,2006
39454,2006-01-02,-1.1538827,-0.1081129,1,1.1589365,2006
39455,2006-01-02,-1.1858888,-0.2318673,1,1.2083437,2006
39456,2006-01-03,-1.088594,-0.2001522,1,1.1068413,2006
39457,2006-01-03,-0.9930067,-0.2242972,1,1.0180234,2006
39458,2006-01-03,-0.9457865,-0.5317916,1,1.0850413,2006
39459,2006-01-03,-1.0523605,-0.5957513,1,1.20929,2006
39460,2006-01-04,-0.9306993,-0.5306458,1,1.0713478,2006
39461,2006-01-04,-0.9114974,-0.4548748,1,1.0186945,2006
39462,2006-01-04,-0.7407771,-0.6278515,1,0.9710553,2006
39463,2006-01-04,-0.7889455,-0.6352566,1,1.0129097,2006
39464,2006-01-05,-0.6294477,-0.5374616,1,0.8276892,2006
39465,2006-01-05,-0.5937219,-0.5544468,1,0.8123528,2006
39466,2006-01-05,-0.4865035,-0.6793562,2,0.8355899,2006
39467,2006-01-05,-0.5968429,-0.7744628,2,0.9777597,2006
39468,2006-01-06,-0.5213923,-0.794967,2,0.9506958,2006
39469,2006-01-06,-0.4844725,-0.7498911,2,0.8927767,2006
39470,2006-01-06,-0.3060293,-0.9199617,2,0.9695274,2006
39471,2006-01-06,-0.3542551,-0.9257649,2,0.9912302,2006
39472,2006-01-07,-0.1327901,-0.9291443,2,0.9385853,2006
39473,2006-01-07,-0.0049697,-0.7497587,2,0.7497751,2006
39474,2006-01-07,0.2446246,-0.8675236,3,0.9013537,2006
39475,2006-01-07,0.0928098,-0.8576716,3,0.8626785,2006
39476,2006-01-08,0.1740989,-0.8185155,3,0.8368262,2006
39477,2006-01-08,0.1191239,-0.7282211,3,0.7379,2006
39478,2006-01-08,0.1880666,-0.8906633,3,0.9103022,2006
39479,2006-01-08,-0.0597446,-0.8561084,2,0.8581905,2006
39480,2006-01-09,-0.1468657,-0.7996795,2,0.813054,2006
39481,2006-01-09,-0.1580554,-0.8155031,2,0.8306785,2006
39482,2006-01-09,-0.0920994,-0.9691499,2,0.9735162,2006
39483,2006-01-09,-0.2113062,-0.9865287,2,1.0089049,2006
39484,2006-01-10,-0.0984197,-1.0022136,2,1.0070345,2006
39485,2006-01-10,-0.054413,-0.9026159,2,0.9042545,2006
39486,2006-01-10,0.0580211,-1.1027598,3,1.1042851,2006
39487,2006-01-10,-0.0576878,-1.1261969,2,1.1276734,2006
39488,2006-01-11,-0.0078362,-1.1092921,2,1.1093198,2006
39489,2006-01-11,0.1131188,-1.0754285,3,1.0813614,2006
39490,2006-01-11,0.2451264,-1.241989,3,1.2659477,2006
39491,2006-01-11,0.181894,-1.3196025,3,1.3320796,2006
39492,2006-01-12,0.156493,-1.3124772,3,1.321774,2006
39493,2006-01-12,0.1888471,-1.3714708,3,1.3844116,2006
39494,2006-01-12,0.4052614,-1.5691472,3,1.6206356,2006
39495,2006-01-12,0.2834916,-1.6376996,3,1.6620553,2006
39496,2006-01-13,0.2907806,-1.5833395,3,1.6098189,2006
39497,2006-01-13,0.3896334,-1.5584247,3,1.6063941,2006
39498,2006-01-13,0.5925324,-1.5380954,3,1.6482816,2006
39499,2006-01-13,0.5412915,-1.4696743,3,1.5661862,2006
39500,2006-01-14,0.6321929,-1.3247232,3,1.4678419,2006
39501,2006-01-14,0.7241986,-1.2817682,3,1.472207,2006
39502,2006-01-14,0.8186023,-1.2707987,3,1.5116345,2006
39503,2006-01-14,0.6129386,-1.3375386,3,1.471293,2006
39504,2006-01-15,0.5938654,-1.2066146,3,1.3448402,2006
39505,2006-01-15,0.6885795,-1.2428809,3,1.4208782,2006
39506,2006-01-15,0.830173,-1.4057473,3,1.6325785,2006
39507,2006-01-15,0.7006682,-1.3935792,3,1.5598073,2006
39508,2006-01-16,0.7797443,-1.2562171,3,1.4785407,2006
39509,2006-01-16,0.8787774,-1.1640949,3,1.4585495,2006
39510,2006-01-16,1.0935034,-1.1987772,3,1.6225955,2006
39511,2006-01-16,1.090642,-1.1572351,3,1.5901865,2006
39512,2006-01-17,1.164553,-0.864696,4,1.4504769,2006
39513,2006-01-17,1.2897111,-0.7468479,4,1.4903477,2006
39514,2006-01-17,1.3458638,-0.8072312,4,1.5693858,2006
39515,2006-01-17,1.2181368,-0.7983078,4,1.4564178,2006
39516,2006-01-18,1.2995529,-0.5925435,4,1.4282666,2006
39517,2006-01-18,1.4676435,-0.4154747,4,1.5253185,2006
39518,2006-01-18,1.729008,-0.380131,4,1.7703017,2006
