longitude,    EOF1,    EOF2 
0000032, 0.0250624, 0.0013809
1377209080, 0.0292610, 0.0079617
0000000, 0.0299205, 0.0144943
0000000, 0.0324921, 0.0180732
0000000, 0.0313908, 0.0190202
0000000, 0.0240310, 0.0144528
0000000, 0.0201838, 0.0131351
0000000, 0.0234539, 0.0059320
0000000, 0.0210307, 0.0019156
0000000, 0.0190633, -0.0042992
0000000, 0.0149238, -0.0047932
0000000, 0.0171228, -0.0063431
0000000, 0.0142036, -0.0047828
0000000, 0.0073356, -0.0046750
0000000, 0.0004287, -0.0059433
0000000, -0.0073185, -0.0008610
0000000, -0.0131326, 0.0060390
0000000, -0.0190982, 0.0142160
0000000, -0.0176456, 0.0051238
0000000, -0.0128225, -0.0033875
0000000, -0.0064581, -0.0134695
0000000, -0.0060897, -0.0144626
0000000, -0.0077490, -0.0080685
0000000, -0.0054431, -0.0046750
0000000, -0.0016681, 0.0005207
0000000, 0.0051487, 0.0058299
0000000, 0.0100071, 0.0093199
0000000, 0.0150724, 0.0099678
0000000, 0.0195547, 0.0126850
0000000, 0.0218087, 0.0160696
0000000, 0.0256920, 0.0184616
0000000, 0.0293911, 0.0244658
0000000, 0.0294412, 0.0299550
0000000, 0.0311577, 0.0337127
0000000, 0.0365130, 0.0375830
0000000, 0.0385405, 0.0441530
0000000, 0.0393626, 0.0501830
0000000, 0.0447970, 0.0556431
0000000, 0.0458285, 0.0657742
0000000, 0.0501742, 0.0769192
0000000, 0.0554330, 0.0871227
0000000, 0.0580485, 0.0936363
0000000, 0.0579266, 0.0956905
0000000, 0.0528347, 0.0953864
0000000, 0.0478175, 0.0914906
0000000, 0.0388375, 0.0875877
0000000, 0.0347109, 0.0825323
0000000, 0.0255029, 0.0772280
0000000, 0.0220128, 0.0719623
0000000, 0.0179716, 0.0603268
0000000, 0.0074966, 0.0510731
0000000, -0.0109793, 0.0460549
0000000, -0.0119153, 0.0475909
0000000, -0.0098773, 0.0532468
0000000, -0.0045837, 0.0569839
0000000, -0.0073832, 0.0574667
0000000, -0.0178450, 0.0609891
0000000, -0.0304100, 0.0574702
0000000, -0.0446410, 0.0544788
0000000, -0.0471288, 0.0532284
0000000, -0.0502604, 0.0495978
0000000, -0.0538638, 0.0627180
0000000, -0.0533477, 0.0609244
0000000, -0.0615358, 0.0591464
0000000, -0.0688864, 0.0623865
0000000, -0.0738222, 0.0621617
0000000, -0.0763224, 0.0541836
0000000, -0.0785108, 0.0412144
0000000, -0.0811455, 0.0364032
0000000, -0.0814386, 0.0316158
0000000, -0.0786194, 0.0218962
0000000, -0.0721799, 0.0130463
0000000, -0.0646757, 0.0065121
0000000, -0.0570810, 0.0025207
0000000, -0.0467943, -0.0031119
0000000, -0.0363120, 0.0013515
0000000, -0.0318567, 0.0077168
0000000, -0.0219143, 0.0108890
0000000, -0.0176478, 0.0079084
0000000, -0.0128303, 0.0026118
0000000, -0.0115303, -0.0011736
0000000, -0.0113690, -0.0025155
0000000, -0.0081863, -0.0064375
0000000, -0.0028836, -0.0057272
0000000, 0.0013618, -0.0105699
0000000, 0.0010476, -0.0105707
0000000, 0.0011929, -0.0160928
0000000, 0.0016788, -0.0232249
0000000, 0.0057297, -0.0238366
0000000, 0.0065890, -0.0283967
0000000, 0.0092306, -0.0320491
0000000, 0.0067438, -0.0339788
0000000, 0.0099864, -0.0367205
0000000, 0.0122342, -0.0342814
0000000, 0.0134058, -0.0278837
0000000, 0.0127267, -0.0221139
0000000, 0.0107130, -0.0192439
0000000, 0.0114099, -0.0191842
0000000, 0.0091834, -0.0217182
0000000, 0.0055022, -0.0228855
0000000, 0.0023677, -0.0236911
0000000, 0.0033628, -0.0215420
0000000, 0.0042586, -0.0219218
0000000, 0.0072810, -0.0246271
0000000, 0.0045882, -0.0265925
0000000, 0.0024784, -0.0238017
0000000, -0.0039767, -0.0231569
0000000, -0.0070323, -0.0187624
0000000, -0.0090207, -0.0182735
0000000, -0.0098580, -0.0211987
