Time,    RMM1,    RMM2,    phase,    amplitude 
0014975, 1.4037350, 1.8092567, 6, 2.2899523
0014976, 0.8358809, 1.5958555, 6, 1.8015137
0014977, 0.1382944, 1.7848362, 6, 1.7901858
0014978, -0.8660995, 1.9303133, 7, 2.1157122
0014979, -1.6371541, 2.0299621, 7, 2.6078765
0014980, -2.0388722, 1.5746425, 8, 2.5761404
0014981, -2.0120287, 1.0063176, 8, 2.2496521
0014982, -2.0464320, 0.6691568, 8, 2.1530571
0014983, -1.7510767, 0.4218483, 8, 1.8011733
0014984, -1.3785924, 0.2222410, 8, 1.3963910
0014985, -0.7987069, 0.1424371, 8, 0.8113083
0014986, -0.7119384, 0.1052832, 8, 0.7196810
0014987, -0.3334028, -0.1015094, 1, 0.3485134
0014988, 0.1952793, -0.2517142, 3, 0.3185813
0014989, 0.4240731, -0.5860487, 3, 0.7233886
0014990, 0.6253211, -0.6399237, 3, 0.8947228
0014991, 0.7825076, -0.7443930, 4, 1.0800180
0014992, 0.8861955, -0.9991403, 3, 1.3355237
0014993, 1.1602566, -0.8863965, 4, 1.4601008
0014994, 1.4465816, -0.8598150, 4, 1.6828191
0014995, 1.7601327, -0.2571878, 4, 1.7788234
0014996, 1.9869692, 0.2386566, 5, 2.0012505
0014997, 1.8500986, 0.8388730, 5, 2.0313966
0014998, 1.5140972, 1.1314499, 5, 1.8901507
0014999, 1.2156543, 1.3601203, 6, 1.8242102
0015000, 0.9580872, 1.7293010, 6, 1.9769707
0015001, 0.7854298, 1.6675322, 6, 1.8432481
0015002, 0.5927405, 1.6239176, 6, 1.7287133
0015003, 0.4512695, 1.3289510, 6, 1.4034796
0015004, 0.0349339, 1.3720887, 6, 1.3725333
0015005, -0.3436057, 1.5552158, 7, 1.5927213
0015006, -0.4791342, 1.3606472, 7, 1.4425430
0015007, -0.2972651, 1.0935792, 7, 1.1332617
0015008, -0.2279708, 1.0692086, 7, 1.0932419
0015009, -0.1317577, 0.9762263, 7, 0.9850776
0015010, 0.0455302, 1.0727289, 6, 1.0736947
0015011, 0.1051334, 1.0585312, 6, 1.0637393
0015012, 0.1672058, 0.9311639, 6, 0.9460570
0015013, 0.2266906, 0.8563042, 6, 0.8858021
0015014, -0.0220171, 0.8630812, 7, 0.8633620
0015015, -0.4306287, 0.9269055, 7, 1.0220542
0015016, -1.0320883, 1.1136045, 7, 1.5183284
0015017, -1.3808950, 1.1161350, 8, 1.7755643
0015018, -1.4430552, 1.0809170, 8, 1.8029946
0015019, -1.2198471, 0.7732140, 8, 1.4442600
0015020, -1.2460552, 0.2871984, 8, 1.2787246
0015021, -1.3666400, 0.3921075, 8, 1.4217782
0015022, -1.2995523, 0.5128835, 8, 1.3970990
0015023, -1.3068089, 0.2664877, 8, 1.3337036
0015024, -1.7306874, 0.3902506, 8, 1.7741405
0015025, -1.9550862, 0.5142081, 8, 2.0215766
0015026, -1.7941780, 0.4364746, 8, 1.8465061
0015027, -1.9333018, 0.3275789, 8, 1.9608579
0015028, -1.9347148, 0.0887080, 8, 1.9367474
0015029, -1.8408502, -0.2602608, 1, 1.8591571
0015030, -1.9222913, -0.5441149, 1, 1.9978150
0015031, -1.6318139, -0.9697966, 1, 1.8982419
0015032, -1.1528628, -1.5545100, 2, 1.9353538
0015033, -0.6896622, -2.0643628, 2, 2.1765175
0015034, -0.5022188, -2.4235675, 2, 2.4750562
0015035, -0.1528610, -2.2992620, 2, 2.3043377
0015036, 0.6574481, -2.2073681, 3, 2.3031962
0015037, 1.0792525, -2.3200827, 3, 2.5588219
0015038, 1.3227073, -1.8449827, 3, 2.2701356
0015039, 1.6859047, -1.4511076, 4, 2.2244074
0015040, 1.8223982, -1.2302743, 4, 2.1987975
0015041, 1.8627330, -1.0800017, 4, 2.1531787
0015042, 1.6197348, -0.8454697, 4, 1.8271178
0015043, 1.4133070, -0.6560091, 4, 1.5581349
0015044, 1.3560296, -0.5567065, 4, 1.4658576
0015045, 1.1737720, -0.4657745, 4, 1.2628089
0015046, 0.9287082, -0.4146781, 4, 1.0170826
0015047, 0.6537421, -0.5261670, 4, 0.8391844
0015048, 0.5700653, -0.4170119, 4, 0.7063097
0015049, 0.5930554, -0.3961431, 4, 0.7131929
0015050, 0.4748529, -0.0941257, 4, 0.4840918
0015051, 0.3656931, 0.0552630, 5, 0.3698452
0015052, 0.4186854, 0.0736860, 5, 0.4251201
0015053, 0.3964534, 0.3620177, 5, 0.5368725
0015054, 0.4530681, 0.6730415, 6, 0.8113295
0015055, 0.6171785, 1.0083948, 6, 1.1822730
0015056, 0.6374151, 1.1582092, 6, 1.3220236
0015057, 0.3574756, 0.9537581, 6, 1.0185497
0015058, 0.2097716, 0.8857533, 6, 0.9102544
0015059, 0.3165402, 0.8257117, 6, 0.8843062
0015060, 0.5303888, 0.6585153, 6, 0.8455499
0015061, 0.7318119, 0.5570159, 5, 0.9196821
0015062, 0.6625889, 0.4992581, 5, 0.8296281
0015063, 0.6690113, 0.3670244, 5, 0.7630747
0015064, 0.6354971, 0.4707804, 5, 0.7908797
0015065, 0.5715976, 0.5405242, 5, 0.7866958
0015066, 0.5475519, 0.4134443, 5, 0.6861117
0015067, 0.3773475, 0.2784015, 5, 0.4689334
0015068, 0.3624387, 0.2636080, 5, 0.4481640
0015069, 0.4103756, 0.2946853, 5, 0.5052203
0015070, 0.3355843, 0.5276698, 6, 0.6253417
0015071, 0.4224073, 0.4541337, 6, 0.6202139
0015072, 0.3857629, 0.2888126, 5, 0.4818981
0015073, 0.3861656, -0.0625134, 4, 0.3911928
0015074, 0.5518698, -0.1201711, 4, 0.5648021
0015075, 0.4771479, -0.1880479, 4, 0.5128666
0015076, 0.3473210, -0.1136637, 4, 0.3654467
0015077, 0.0606987, -0.1571356, 3, 0.1684516
0015078, -0.1003386, -0.2986747, 2, 0.3150784
0015079, 0.0049000, -0.4885021, 3, 0.4885267
0015080, -0.0734730, -0.6166925, 2, 0.6210539
0015081, 0.0792299, -0.7661154, 3, 0.7702014
0015082, -0.0797853, -0.9087712, 2, 0.9122669
0015083, -0.0779436, -0.9189874, 2, 0.9222869
0015084, 0.0100793, -1.1613268, 3, 1.1613705
0015085, -0.0739953, -1.4886218, 2, 1.4904598
0015086, -0.1941217, -2.1117389, 2, 2.1206424
0015087, 0.1617596, -2.4607973, 3, 2.4661081
0015088, 0.6312320, -2.4421759, 3, 2.5224347
