,Date,PC1,PC2,year
10958,2009-01-01,-0.15759,0.4031,2009
10959,2009-01-02,-0.27241,0.39225,2009
10960,2009-01-03,-0.41,0.37715,2009
10961,2009-01-04,-0.56507,0.35562,2009
10962,2009-01-05,-0.72984,0.32454,2009
10963,2009-01-06,-0.89433,0.28082,2009
10964,2009-01-07,-1.04709,0.22233,2009
10965,2009-01-08,-1.1762,0.14823,2009
10966,2009-01-09,-1.27041,0.05866,2009
10967,2009-01-10,-1.32021,-0.04595,2009
10968,2009-01-11,-1.31857,-0.16541,2009
10969,2009-01-12,-1.26148,-0.29985,2009
10970,2009-01-13,-1.14819,-0.44934,2009
10971,2009-01-14,-0.98118,-0.61313,2009
10972,2009-01-15,-0.76595,-0.78894,2009
10973,2009-01-16,-0.51052,-0.97231,2009
10974,2009-01-17,-0.22487,-1.1564,2009
10975,2009-01-18,0.07962,-1.33202,2009
10976,2009-01-19,0.39067,-1.48832,2009
10977,2009-01-20,0.69552,-1.61369,2009
10978,2009-01-21,0.98114,-1.69705,2009
10979,2009-01-22,1.23477,-1.7291,2009
10980,2009-01-23,1.44443,-1.70334,2009
10981,2009-01-24,1.59998,-1.61662,2009
10982,2009-01-25,1.69402,-1.46921,2009
10983,2009-01-26,1.72278,-1.26443,2009
10984,2009-01-27,1.68649,-1.0083,2009
10985,2009-01-28,1.58919,-0.70915,2009
10986,2009-01-29,1.438,-0.37751,2009
10987,2009-01-30,1.24214,-0.02596,2009
10988,2009-01-31,1.01179,0.33114,2009
10989,2009-02-01,0.75705,0.67801,2009
10990,2009-02-02,0.48721,0.9981,2009
10991,2009-02-03,0.21037,1.27486,2009
10992,2009-02-04,-0.06629,1.49276,2009
10993,2009-02-05,-0.33557,1.63837,2009
10994,2009-02-06,-0.5888,1.70188,2009
10995,2009-02-07,-0.81439,1.67908,2009
10996,2009-02-08,-0.99762,1.57336,2009
10997,2009-02-09,-1.12296,1.39681,2009
10998,2009-02-10,-1.17849,1.16864,2009
10999,2009-02-11,-1.16002,0.91111,2009
11000,2009-02-12,-1.07208,0.64506,2009
11001,2009-02-13,-0.92578,0.38745,2009
11002,2009-02-14,-0.73553,0.15125,2009
11003,2009-02-15,-0.51628,-0.05361,2009
11004,2009-02-16,-0.2819,-0.21925,2009
11005,2009-02-17,-0.04448,-0.33939,2009
11006,2009-02-18,0.18574,-0.40931,2009
11007,2009-02-19,0.40002,-0.42603,2009
11008,2009-02-20,0.59061,-0.38871,2009
11009,2009-02-21,0.75001,-0.29919,2009
11010,2009-02-22,0.87068,-0.16277,2009
11011,2009-02-23,0.94529,0.01076,2009
11012,2009-02-24,0.96846,0.20639,2009
11013,2009-02-25,0.93949,0.40482,2009
11014,2009-02-26,0.86437,0.58579,2009
