,Year,Month,Day,PC1,PC2,Amp,phase
1980,1,1,0,0.06432,0.4646,0.46903,4
1980,1,2,0,0.09551,0.54102,0.54938,4
1980,1,3,0,0.12845,0.60566,0.61913,4
1980,1,4,0,0.16004,0.65876,0.67792,4
1980,1,5,0,0.1883,0.70065,0.72551,4
1980,1,6,0,0.21259,0.73187,0.76212,4
1980,1,7,0,0.23353,0.75321,0.78859,4
1980,1,8,0,0.25262,0.76585,0.80644,4
1980,1,9,0,0.27169,0.77139,0.81783,4
1980,1,10,0,0.29246,0.77169,0.82525,4
1980,1,11,0,0.31636,0.76871,0.83126,4
1980,1,12,0,0.34436,0.76411,0.83812,4
1980,1,13,0,0.377,0.75899,0.84747,4
1980,1,14,0,0.41436,0.75373,0.86012,4
1980,1,15,0,0.456,0.74785,0.87591,4
1980,1,16,0,0.50088,0.7401,0.89366,4
1980,1,17,0,0.54733,0.72855,0.91124,4
1980,1,18,0,0.59301,0.7109,0.92576,4
1980,1,19,0,0.63498,0.68469,0.93381,4
1980,1,20,0,0.66977,0.64764,0.93168,3
1980,1,21,0,0.6935,0.59791,0.91567,3
1980,1,22,0,0.70209,0.53449,0.88239,3
1980,1,23,0,0.6914,0.4574,0.82901,3
1980,1,24,0,0.6576,0.36794,0.75353,3
1980,1,25,0,0.59743,0.26876,0.6551,3
1980,1,26,0,0.50873,0.16374,0.53443,3
1980,1,27,0,0.3908,0.05768,0.39503,3
1980,1,28,0,0.24486,-0.04429,0.24884,2
1980,1,29,0,0.07431,-0.13749,0.15628,1
1980,1,30,0,-0.11521,-0.2186,0.2471,8
1980,1,31,0,-0.31598,-0.28674,0.42669,7
1980,2,1,0,-0.51857,-0.3443,0.62246,7
1980,2,2,0,-0.71248,-0.39708,0.81566,7
1980,2,3,0,-0.8871,-0.45265,0.99591,7
1980,2,4,0,-1.03346,-0.51539,1.15485,7
1980,2,5,0,-1.14711,-0.57972,1.28528,7
1980,2,6,0,-1.22973,-0.62895,1.38123,7
1980,2,7,0,-1.28568,-0.64448,1.43817,7
1980,2,8,0,-1.31618,-0.61611,1.45324,7
1980,2,9,0,-1.31742,-0.54426,1.42542,7
1980,2,10,0,-1.28313,-0.43711,1.35554,7
1980,2,11,0,-1.20772,-0.30734,1.24621,7
1980,2,12,0,-1.08847,-0.16991,1.10165,7
1980,2,13,0,-0.92644,-0.04038,0.92732,7
1980,2,14,0,-0.72672,0.06656,0.72976,6
1980,2,15,0,-0.4979,0.13844,0.51679,6
1980,2,16,0,-0.2512,0.16625,0.30124,6
1980,2,17,0,0.00085,0.14546,0.14547,4
1980,2,18,0,0.24614,0.07692,0.25788,3
1980,2,19,0,0.47492,-0.03243,0.47602,2
1980,2,20,0,0.68226,-0.1687,0.70281,2
1980,2,21,0,0.87073,-0.30974,0.92418,2
1980,2,22,0,1.05152,-0.42411,1.13382,2
1980,2,23,0,1.23712,-0.47842,1.32641,2
1980,2,24,0,1.42044,-0.47112,1.49653,2
1980,2,25,0,1.5739,-0.45592,1.6386,2
1980,2,26,0,1.67946,-0.48136,1.74709,2
1980,2,27,0,1.73163,-0.54952,1.81674,2
1980,2,28,0,1.72864,-0.63897,1.84295,2
1980,2,29,0,1.67152,-0.72511,1.82203,2
1980,3,1,0,1.56504,-0.78635,1.75149,2
1980,3,2,0,1.4158,-0.80824,1.63026,2
1980,3,3,0,1.23653,-0.77523,1.45945,2
1980,3,4,0,1.03995,-0.68072,1.24293,2
1980,3,5,0,0.83883,-0.52369,0.98888,2
1980,3,6,0,0.6445,-0.30849,0.71453,2
