,year,month,day,RMM1,RMM2,phase,amplitude
2012-01-01,2012,1,1,0.6203714,1.2773572,6,1.420036
2012-01-02,2012,1,2,0.49733198,1.1380676,6,1.2419891
2012-01-03,2012,1,3,0.25710547,0.98545909,6,1.0184463
2012-01-04,2012,1,4,0.13459598,1.0700628,6,1.0784945
2012-01-05,2012,1,5,0.25051004,0.78150451,6,0.82067323
2012-01-06,2012,1,6,0.39345127,0.87877131,6,0.96283072
2012-01-07,2012,1,7,0.17436688,1.0039531,6,1.0189826
2012-01-08,2012,1,8,-0.3060497,0.83061177,7,0.88520187
2012-01-09,2012,1,9,-0.4248839,0.48142874,7,0.64210588
2012-01-10,2012,1,10,-0.0199643597,0.43833515,7,0.43878958
2012-01-11,2012,1,11,0.37552506,0.80030352,6,0.8840276
2012-01-12,2012,1,12,0.33876833,0.60172564,6,0.69053435
2012-01-13,2012,1,13,0.27601913,0.50611252,6,0.57648629
2012-01-14,2012,1,14,0.15924783,0.70285773,6,0.72067255
2012-01-15,2012,1,15,0.26245138,0.86420637,6,0.90317959
2012-01-16,2012,1,16,0.27126679,0.74403602,6,0.79194397
2012-01-17,2012,1,17,0.21687095,0.38032836,6,0.43781579
2012-01-18,2012,1,18,0.41435942,0.36001211,5,0.5489102
2012-01-19,2012,1,19,0.61922938,0.40966704,5,0.742477
2012-01-20,2012,1,20,1.3780682,0.36068958,5,1.424489
2012-01-21,2012,1,21,1.4162825,-0.0815200731,4,1.4186267
2012-01-22,2012,1,22,1.2400839,0.15489918,5,1.2497207
2012-01-23,2012,1,23,1.3349515,0.46216214,5,1.4126887
2012-01-24,2012,1,24,1.3725226,0.55872047,5,1.4818863
2012-01-25,2012,1,25,1.2379141,0.7312941,5,1.4377838
2012-01-26,2012,1,26,0.96846038,0.89515567,5,1.3187946
2012-01-27,2012,1,27,0.76818091,1.1983113,6,1.4233946
2012-01-28,2012,1,28,1.0235065,1.5248053,6,1.8364631
2012-01-29,2012,1,29,1.1177415,1.6559677,6,1.9978926
2012-01-30,2012,1,30,1.1547509,1.4509178,6,1.8543496
2012-01-31,2012,1,31,1.0406711,1.5901787,6,1.9004381
2012-02-01,2012,2,1,1.0844814,1.6635338,6,1.9858108
2012-02-02,2012,2,2,0.9083097,2.103827,6,2.2915311
2012-02-03,2012,2,3,0.51705742,2.4421387,6,2.4962752
2012-02-04,2012,2,4,-0.0922326744,2.8255241,7,2.827029
2012-02-05,2012,2,5,-0.43745795,3.2478657,7,3.277194
2012-02-06,2012,2,6,-0.88936377,3.3278444,7,3.4446359
2012-02-07,2012,2,7,-1.2002655,2.7246084,7,2.9772685
2012-02-08,2012,2,8,-1.4395989,2.0856352,7,2.5342295
2012-02-09,2012,2,9,-1.5556875,1.5448041,8,2.1923921
2012-02-10,2012,2,10,-1.6387627,1.028947,8,1.9350129
2012-02-11,2012,2,11,-1.4994835,0.52022368,8,1.5871621
2012-02-12,2012,2,12,-1.5810266,0.24816138,8,1.600384
2012-02-13,2012,2,13,-1.7202543,-0.0318538621,1,1.7205492
2012-02-14,2012,2,14,-1.6226449,-0.30833876,1,1.6516807
2012-02-15,2012,2,15,-1.1791991,-0.60314453,1,1.3244976
2012-02-16,2012,2,16,-0.86154872,-0.87384653,2,1.2271405
2012-02-17,2012,2,17,-0.92402053,-1.1761124,2,1.4956785
2012-02-18,2012,2,18,-0.90160203,-1.2075289,2,1.5069878
2012-02-19,2012,2,19,-0.94440758,-1.1204226,2,1.4653506
2012-02-20,2012,2,20,-0.8470341,-1.2267177,2,1.4907391
2012-02-21,2012,2,21,-0.87527251,-1.2563943,2,1.5312179
